Title,Date,URL,Status,Playlists
"Kubernetes 1.35: In-Place Pod Updates, Native Workload Identity & AI Scheduling | Drew Hagen",2025-12-27,https://www.youtube.com/watch?v=HIVcyPCfG1k,Not started,Interviews
eBPF for Observability: Hard Truths and Practical Wins - Kenta Tada & Shung-Hsi Yu,2025-12-19,https://www.youtube.com/watch?v=3ckJhLSh6p0,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Towards a Decade of Industrial Grade Linux: CIP’s Journey and the Road Ahead - Yoshitake Kobayashi,2025-12-19,https://www.youtube.com/watch?v=8-trRjBr81I,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"OF-nodes, Fwnodes, Swnodes, Devlinks, Properties - Understanding How Devices... Bartosz Golaszewski",2025-12-19,https://www.youtube.com/watch?v=SqAPZfHut3g,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"Enhancing Your Gaming Experience on Linux With Sched_ext - Changwoo Min, Igalia",2025-12-19,https://www.youtube.com/watch?v=ddWdUoFx9g4,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"hkml: Mailing Tool for Simple Linux Kernel Development - SeongJae (SJ) Park, Meta",2025-12-19,https://www.youtube.com/watch?v=f09kvPvYMsM,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"I3C, the Industry, and Linux - Wolfram Sang, Renesas",2025-12-19,https://www.youtube.com/watch?v=iD9AlfqWV_s,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
"EROFS: Current Status and Future Plans - Xiang Gao, Alibaba Cloud",2025-12-19,https://www.youtube.com/watch?v=nKteBUd1suc,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
How Can Your OSPO Ensure Viability of the Open Source Projects That Your Product Reli... Masae Shida,2025-12-19,https://www.youtube.com/watch?v=jc07mBBBroY,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
You Never Know When You Need a Fork: Lessons Learned Building... Madelyn Olson & Roberto Luna Rojas,2025-12-19,https://www.youtube.com/watch?v=eW3uLjIj69g,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
Flutter-workspace Tool by Example - Setup for AGL Terrific Trout - Jan-Simon Möller,2025-12-19,https://www.youtube.com/watch?v=f-Z0WtaznYM,Not started,Open Source Summit + AI_dev + Automotive Linux Summit Japan 2025
